Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Nano Tips to Accelerate Your Goals with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.  In this installment, learn commonly overlooked, counterintuitive, and must-know tips that truly make a difference when it comes to achieving your goals, exploring key insights from peak performance researcher and behavioral strategist to Fortune 500 companies, Shadé Zahrai.  
<br><br>
Gleaned from research and global experience, Shadé explains the importance of setting goals aligned with your purpose for greater motivation, why you should break your bigger-picture goals into sub-goals, and the importance of setting milestones. She also imparts tips for increasing your chances of success and how to reignite your passion, confidence and goal-achieving momentum.",Course,2025-08-01 17:58 UTC,N/A,false,N/A,
"Japanese, Part 5: Using Casual Speech in Different Contexts","<p>In this course, Yuki Sasaki Caldwell—an Instructor of Japanese Language in the Department of Comparative Literature and Intercultural Studies at the University of Georgia (UGA)—explores the vocabulary and syntax for making polite negative requests, and the difference between the easier ru-verbs and the more difficult u-verbs. Discover some more casual conversational vocabulary, find out how it differs from more polite communication, and explore the circumstances in which casual use is acceptable. Plus, dive into vocabulary related to a person’s age and the zoo. </p>

<p>This course was created by The Great Courses. We are pleased to host this training in our library.</p>",Course,2025-07-31 12:28 UTC,N/A,false,N/A,
Social Media Marketing: Strategy and Optimization,"<div><a href=""https://www.linkedin.com/newsletters/6642894648903823360?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Martin's LinkedIn Newsletter</a></div><p>Learn a three-step recipe for optimizing your social media marketing mix. Get a fresh perspective on your content, your choice of platform, and your strategy. Join digital communication strategist Martin Waxman for this illuminating short course that will get even the most experienced marketers out of a social media rut. Learn how to analyze what's working—and what's not—with SWOT analysis, and adapt your plan to capitalize on your strengths. Then Martin takes you through the types of social media content you can create on the various platforms and how they can help you achieve your brand's goals. Plus, learn how to turn strategy into action and create paid and organic posts and stories that engage your customers. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/social-media-marketing-professional-certificate-by-hootsuite"" target=""_blank"">Professional Certificate</a> from Hootsuite.</p>",Course,2025-11-26 13:52 UTC,N/A,false,N/A,
Marketing on Instagram,"If you're interested in marketing your product or service on Instagram, join Anson Alexander in this course as he acquaints you with key features and digital marketing strategies that can help improve your online presence and boost sales using the popular social platform. Anson demonstrates how to use built-in Instagram tools for businesses, brainstorm content ideas, and develop a posting schedule based on the activity of your target market. He shares tips for creating engaging content with Instagram Stories and Reels. Anson demonstrates how to use Instagram Insights to review statistics and metrics regarding your posts to optimize your marketing strategies. He also shows how to create shopping posts in Instagram Shopping as well as how to use paid ads to reach a wider audience. Plus, Anson provides insider tips and secrets that can help you navigate the Instagram community like a pro.",Course,2025-12-06 14:15 UTC,N/A,false,N/A,
Deploying and Managing Defender for Endpoint for Windows,"Did you know that Microsoft Defender for Endpoint (MDE) can help you secure endpoints using global threat intelligence and multiplatform detection and response? In this course, instructor Ru Campbell provides an overview of best practices and architectural insights for MDE, from onboarding devices and deploying and managing security capabilities, to responding to threats and incidents, and much more. Discover how this vast suite comes together to protect your organization more effectively with ease, as you develop the skills required to configure and manage Windows Defender Antivirus, enable and use attack surface reduction, and leverage the power of SmartScreen, Windows Firewall, device control, and conditional access.",Course,2024-09-09 21:20 UTC,N/A,false,N/A,
Five Hard Conversations You’ll Have in Your Career,"Learn essential skills for navigating hard conversations, conflict resolution, feedback exchange, salary negotiation, workplace changes, and career progression discussions. Keisha provides insights into tackling professional challenges with confidence and strategic finesse. After this course, you will be prepared to take on difficult conversations with preparation and ease.",Course,2024-09-10 10:33 UTC,N/A,false,N/A,
Career Wellness Nano Tips with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>In this course, get some quick tips on how to better manage your work life and career. Check out some practical advice on workload prioritization, emotional self-regulation, and managing overwhelming work experiences. Also learn how to bring empathy to work, receive feedback with confidence, and even find out the real reason behind procrastination.",Course,2022-10-17 20:11 UTC,N/A,false,N/A,
Be the Manager People Won't Leave,"<div><a href=""https://www.linkedin.com/newsletters/6457790820677410816?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Laurie's LinkedIn Newsletter</a></div><p>With the ""Great Reshuffle,"" employees are quitting their jobs at the highest rates in over 20 years, and 41% of the global workforce is considering leaving their jobs. Manager relationships are becoming the make-or-break point for whether employees stay or go. Join veteran HR leader Laurie Ruettimann as she reveals the data behind why it's more important than ever to be a manager who demonstrates empathy and inspires loyalty from the workforce. Laurie covers basics first: be someone people can trust, be an example of integrity, and be relentlessly inclusive. She steps you through ways to inspire your employees to grow. Laurie finishes up by showing you how you can help your team members love their work by being a next-level mentor, a fun-loving boss, and a leader who is genuinely invested in your employees’ well-being.</p>",Course,2023-02-17 01:19 UTC,N/A,false,N/A,
Content Marketing: Newsletters,"Long live email! While rumors of its death persist, your email newsletter is still one of the most powerful ways to connect with your audience and stay top of mind. Customers appreciate something concrete, curated, and well written in their inbox. In this course, Melodie Tao covers best practices for integrating email newsletters into your own content marketing strategy. Melodie details the importance of growing your database, customizing emails for different types of customers, integrating social media, and being consistent. She also includes tips for writing effective emails, like irresistible subject lines and calls to action.",Course,2022-05-31 14:53 UTC,N/A,false,N/A,
Learning Adobe Fresco,"Learn how to use Fresco, the pressure-sensitive drawing and painting app from Adobe that is designed to be used with stylus and touch devices. Instructor Kyle Webster begins with the basics of how to use Fresco including customizing the interface. He explains technical components of the program such as locating recent documents, saving files, and exporting your work, and dives into more artistic aspects including how to use tools to achieve looks including watercolor, oil, pencils, and mixed media.",Course,2022-04-22 19:59 UTC,N/A,false,N/A,
Miss Excel’s Top Productivity Hacks,"Want to become an Excel power user? Follow along with Excel MVP Kat Norton, a.k.a. Miss Excel, as she introduces you to her favorite productivity hacks for cleaning, analyzing, and formatting data in Excel. These tips and tricks can save you hours each week and help you do more with your data. Kat covers the hottest topics in Excel including the new XLOOKUP function, dropdown menus, Flash Fill, and more.",Course,2023-06-05 23:53 UTC,N/A,false,N/A,
Shane Snow on Storytelling,"Storytelling is a powerful way to make people care about products, brands, and causes. It can facilitate sales, marketing, presentations, and about any other task that requires a human connection. LinkedIn Influencer and best-selling business author Shane Snow shares his approach to crafting compelling stories. Learn how to make people care with personal stories, brand stories, or any other kind of story—using the core elements of narrative and established storytelling frameworks. Find out how to maximize connections with your audience and create a culture of storytelling throughout your organization.",Course,2022-06-02 18:00 UTC,N/A,false,N/A,
Amplify Your Personal Brand with Generative AI,"<p>Looking to develop your personal brand, but not sure where to begin? In this course, LinkedIn Top Voice Morgan Young guides you through the process of defining and amplifying your personal brand using the power of generative AI.</p><p>Learn how to define the professional and personal goals you hope to unlock with your brand—and build out your network intentionally along the way. Morgan shows you how to adopt and implement brand development strategies that stick, refining your prompts and content as you grow. By the end of this course, you’ll be equipped with a richer understanding of how to bring your personal brand to life and create meaningful messaging aligned with your audience. You’ll also be prepared to leverage cutting-edge AI tools to build and polish your brand on your LinkedIn profile, your website, and more.</p>",Course,2025-10-03 14:53 UTC,N/A,false,N/A,
How to use ChatGPT for Content Creation,"Among the many uses for AI, did you know you can use it to facilitate content creation? In this course, podcaster and content strategist Nicky Saunders guides you through everything you need to know to start crafting compelling, captivating content. Get an overview of ChatGPT and how to leverage it effectively to enhance your social media presence. Set up your ChatGPT environment and learn best practices. Step through crafting social media posts and curating  visual content with ChatGPT, and then dive into ways ChatGPT can enhance your content planning and strategy. This course empowers you to embrace the future of content creation with ChatGPT.",Course,2025-05-30 14:00 UTC,N/A,false,N/A,
Quick Marketing Wins for Entrepreneurs,"In this course, serial entrepreneur and 20-year digital marketer T. Adeola walks you through how to set your business on a solid marketing foundation. T. starts by outlining the differences between acquisition and retention strategies. Then, he goes through basic growth strategies and the time-tested marketing funnel. He finishes up with a discussion on budgeting and marketing audits. After this course, you'll have the strategies and tactics every entrepreneur needs to be fundamentally sound.",Course,2025-12-12 14:52 UTC,N/A,false,N/A,
Responsible AI for Managers,"<p>As AI adoption in organizations evolves, managers need to ensure their teams are using AI responsibly. In this course, instructor Terri Horton shows you how to design and implement responsible AI practices and hold yourself and your team accountable as a manager.</p><p>Explore the manager's role in responsible AI, in theory and in practice. Get an overview of the guiding principles of ethical AI and responsible AI in management. Terri offers insights on accountability—including data privacy, safety, and how to mitigate bias and risk—before covering key management practices during AI implementation such as decision-making, employee engagement, and psychological safety. Along the way, learn more about AI in action with real-world case examples drawn from business management.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/generative-ai-for-recruiting-professional-certificate-by-linkedin-learning?u=104"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2024-08-21 17:09 UTC,N/A,false,N/A,
Nano Tips for Using Chat GPT to 10x Your Productivity at Work with Gianluca Mauro,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, join Gianluca Mauro—AI entrepreneur, public speaker, and troublemaker—as he explores ways to leverage the power of AI to boost your productivity and get more done at work.</p><p>Learn how to utilize ChatGPT for enhanced productivity by crafting prompts that deliver consistent results. Gianluca covers the fundamentals of the CIDI framework for prompt engineering—context, instructions, details, and input—and how to get the most out of CIDI prompts in practice for social media copywriting, expert feedback, data structuring, and more. Along the way, gather insights for building and maintaining your prompt library and applying your new AI skills across your entire organization.</p>",Course,2025-07-24 17:44 UTC,N/A,false,N/A,
Cert Prep: PMI Agile Certified Practitioner (PMI-ACP)®,"<p>The agile approach to project management can help companies respond faster and more effectively to change. As a result, having a solid grasp of what agile is—and how to effectively use agile approaches in an organization—can help you increase your value as a project manager, and enhance your personal marketability. In this course, learn about agile principles and the agile mindset, and discover essential strategies for breaking down work in an agile fashion, engaging your stakeholders, planning an agile project, and managing team performance. This course covers the knowledge domains for the PMI Agile Certified Practitioner (PMI-ACP)® exam. If you're pursuing the PMI-ACP® certification, this course can help you approach the exam topics with confidence.  </p>

<p>PMI, PMP, and the PMI Registered Education Provider logo are registered marks of the Project Management Institute, Inc.</p>",Course,2025-05-08 12:14 UTC,N/A,false,N/A,
Nano Tips to Communicate Assertively and Set Boundaries with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, award-winning leadership strategist and peak performance educator for Fortune 500 companies, Shadé Zahrai, shares essential tips on assertive communication—and how to confidently set boundaries. Learn how to communicate assertively to reduce confrontations and improve interpersonal outcomes, set boundaries for off-hours communication, address disagreement constructively, and more.",Course,2025-09-03 15:55 UTC,N/A,false,N/A,
Content Strategy in the Age of AI,"AI is transforming the way content strategists work, offering new tools to amplify creativity, streamline workflows, and unlock unprecedented efficiency. In this course, instructor Amy Balliett explores how to integrate AI into every stage of your content strategy process, from brainstorming and branding to scripting, design, and campaign management. Through hands-on demonstrations, discover some of today’s leading AI tools in a wide variety of different categories—template-driven, sketch-driven, and fully generative—and learn how to master the art of prompting for optimal results. Whether you're creating audience personas, analyzing data, or developing stunning visuals, this course equips you with actionable insights and practical skills to make AI your greatest ally in delivering exceptional content.",Course,2025-09-23 19:42 UTC,N/A,false,N/A,
Supercharge Your LinkedIn Profile for Opportunities and Growth,"In this course, Kim Kaupe—an entrepreneur, keynote speaker, podcast host and a self-described superfan of LinkedIn—shares with you all the ways you can enhance your profile and make the most out of your LinkedIn experience. Learn how to level up your career, attract opportunities, and connect with power players in your industry. Find out how to configure your profile to position yourself as a thought leader. Explore strategies for profile pictures and banner images. Dive into creating impactful content, including LinkedIn posts, collaborative articles, LinkedIn Live sessions, audio events, and newsletters. Plus, learn about analytics you can use to measure the effectiveness of your efforts.",Course,2025-09-16 18:01 UTC,N/A,false,N/A,
Excel Essential Training (Microsoft 365) (2018),"Get up to speed with Microsoft Excel, the world's most popular spreadsheet program. Follow along with Excel expert Dennis Taylor as he demonstrates how to efficiently manage and analyze data with this powerful program. Learn how to enter and organize data, perform calculations with simple functions, and format the appearance of rows, columns, cells, and data. Other lessons cover how to work with multiple worksheets, build charts and PivotTables, sort and filter data, use the printing capabilities of Excel, and more.",Course,2022-09-12 23:08 UTC,N/A,false,N/A,
Treating Go as an Object-Oriented Language,"Did you know that treating Go like an object-oriented programming language can allow you to create more functional and more powerful behavior? Join instructor Frank P Moley III in this hands-on, interactive course to practice advancing your skills in Go, the popular, statically typed programming language. This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Frank helps you boost your skills as a Go programmer with specific, coding challenges that treat Go like an object-oriented language. Practice creating and working with structs, synthesizing classes, and leveraging encapsulation, composition, and polymorphism, building object-oriented behavior as you go.",Course,2025-04-22 15:44 UTC,N/A,false,N/A,
Virtual Job Interviews for Non-Native English Speakers,"<p>The application process can be stressful for anyone, but interviewing in a foreign language brings unique challenges, especially if the conversation takes place online. In this course, Liesje Sandler, an English coach at Speexx, teaches you how to successfully master your online application process in English. Liesje shares language tips and examples on how to answer common interview questions from recruiters and HR managers, explains how to formulate your own questions, and how to negotiate salary and additional benefits. Learn to communicate more confidently and more expressively in English to do well in the interview and get the job you want.
</p><p>
This course is part of a <i>Business English for Non-Native Speakers</i> series aimed at anyone with a basic knowledge of English who wants to improve their business English skills.",Course,2024-12-03 20:13 UTC,N/A,false,N/A,
How to Research and Write Using Generative AI Tools (2023),"<p>You’ve probably already heard about ChatGPT, but did you know it can make you better at your job? Join instructor Dave Birss for a crash course in generative AI and learn how to get started with prompt engineering for ChatGPT and other AI chatbots to upskill as a researcher and a writer.</p><p>Dave shows you how to create effective prompts that deliver high-quality, task-relevant results. Get an overview of some of the key considerations of working with generative AI with hands-on, practical strategies to improve your research and writing. Find out how to summarize complex information, view subjects from multiple perspectives, build user personas and strategic models, analyze writing style, outline ideas, and generate new content. By the end of this course, you’ll be ready to leverage the power of ChatGPT and other chatbots to deliver more consistent writing outcomes every time.</p><p>Note: This course was created by Dave Birss. We are pleased to host this training in our library.</p>",Course,2023-04-26 23:17 UTC,N/A,false,N/A,
"Agentic AI Fundamentals: Architectures, Frameworks, and Applications","Looking to dive into the world of agentic AI? The course covers the essential concepts, architectures, and frameworks that form the foundation of autonomous agents. Explore decision-making processes, machine learning techniques, and multi-agent systems and gain practical knowledge to develop and deploy agentic AI solutions. Instructor David Linthicum also addresses the ethical and societal implications of agentic AI, as well as security and robustness considerations. Check out this course to get equipped with the skills and understanding needed to leverage agentic AI in various industries and applications.",Course,2025-09-30 17:55 UTC,N/A,false,N/A,
Strategic Negotiation,"<p>Learn negotiation skills to help you get what you want while also building better relationships with coworkers, bosses, business partners, and suppliers. In this course, leadership consultant and trainer Mike Figliuolo shares simple yet effective negotiating skills and tools. He covers the four major phases of the negotiating cycle and explains how to assess your situation, gather data, negotiate a deal, and then assess and learn from your experience. He also explains common negotiating pitfalls and what you can do to avoid them. </p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations. </p></p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-procurement-professional-certificate"" target=""_blank"">Professional Certificate</a> from CSCMP.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/negotiation-professional-certificate-by-american-negotiation-institute"" target=""_blank"">Professional Certificate</a> from American Negotiation Institute.</p>",Course,2022-08-18 20:43 UTC,N/A,false,N/A,
Technical SEO,"<p>Even if the only thing you know about SEO is what the letters S, E, and O stand for, you probably know that good content on your website only goes so far when it comes to improving visibility. In order to maximize ROI and increase leads to your business, you need technical search engine optimization. In this course, SEO expert Dana DiTomaso shows how to optimize your website for SEO by looking at how crawlers work, developing strategies for increasing site speed and discoverability, using schema, architecture, URLs, and image/video to your SEO advantage. Along the way, learn how to leverage analytics data and search results assessments to drive ongoing SEO decisions and platform iterations. In addition to the actual nuts and bolts of SEO, Dana also covers the importance of making concrete recommendations to IT teams and web developers, so you can actually get the fixes implemented that you need. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/digital-marketing-professional-certificate-by-content-marketing-institute"" target=""_blank"">Professional Certificate</a> from Content Marketing Institute.</p>",Course,2024-09-06 18:22 UTC,N/A,false,N/A,
How to Design and Deliver Training Programs,"An effective training program helps to accelerate an employee's professional development and prepares them to excel in their role. In this course, corporate training expert Jeff Toister explains how to design and deliver training programs that engage learners and help them quickly develop new skills. Jeff walks through the ADDIE model of instructional design as it applies to corporate learning, exploring each step—from conducting needs analysis all the way through delivering face-to-face training. He also provides tips for presenting with confidence and clarity, facilitating discussions, adapting your programs to webinar delivery, and more.",Course,2025-03-21 13:09 UTC,N/A,false,N/A,
Working with Upset Customers (2020),"More than any other topic, frontline employees ask for advice on how to serve angry and upset customers. This course reveals proven techniques for effectively neutralizing negative situations. Customer service expert Jeff Toister also shares specific actions employees can take before <em>and</em> after encounters with upset customers that will reduce the likelihood of problems occurring in the future.",Course,2022-09-08 16:21 UTC,N/A,false,N/A,
Managing Unconscious Bias at Work with Madison Butler,"Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in seconds. In this course, Madison Butler offers tips on how to manage unconscious bias in the workplace, from the perspectives of both someone trying to navigate it and prevent it. Plus, learn how to heal from the effects of unconscious bias.",Course,2025-04-07 14:08 UTC,N/A,false,N/A,
Nano Tips for Getting Unstuck as an Entrepreneur with Terry Rice,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, business development consultant Terry Rice shares advice for business owners who feel their business stagnating. Learn how to identify the vision you have for your business to give you motivation to push through challenging times. Discover how to develop a high-performance mindset, optimize your business model and revenue potential, manage clients and reduce stress, improve processes and scale your business, and much more.",Course,2025-11-25 16:38 UTC,N/A,false,N/A,
Navigating Environmental Sustainability: A Guide for Leaders,"Regardless of industry, the global business sector is being transformed around a common issue: environmental sustainability. Business leaders around the world are grappling with meaningful efforts to address climate issues relevant to their organizations. In this course, the chief environmental officer at Microsoft, Dr. Lucas Joppa, discusses some of the most pressing questions surrounding this critical topic. Dr. Joppa frames this course not around a set of rigid rules companies should follow, but through methods for individual companies to evaluate what strategies fit best and how to leverage existing strengths to make the biggest impact. By following just a few of the key principles and concepts Dr. Joppa lays out, companies can ensure that they are not only prepared for the business transformations that lie ahead, but are key architects of it, leading the way on a vital issue.",Course,2022-05-10 21:50 UTC,N/A,false,N/A,
Nano Tips for Leading Diverse Teams with Watchen Nyanue,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, join Watchen Nyanue Hampton—thought leader, career architect, and the founder of I Choose The Ladder—as she shares practical, easy-to-use strategies for navigating diverse team dynamics and reaching your full leadership potential.</p><p>Learn how to bridge the gap between effort and attitude, find comfort in discomfort, and value everyone’s unique lived experience. Get tips on establishing rules of engagement and creating clearly defined communication channels. Along the way, Watchen offers insights to help you build your awareness of team blindspots, embrace conflict, rotate meeting leadership, practice mindful communication, and celebrate success. By the end of this course, you’ll be equipped with the skills you need to lead your team with professional poise and aplomb.<p>",Course,2025-04-18 14:02 UTC,N/A,false,N/A,
Nano Tips For Hosting Story Circles to Unlock Team Wisdom with David Hutchens,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, David Hutchens shares tips on how you can host story circles with your teams for purposes such as building connection, sharing knowledge, and bringing deep sense-making to work. Learn about the significance of story circles, how to ask—and not ask—for stories, and how to design a powerful  story session.",Course,2026-02-03 01:16 UTC,N/A,false,N/A,
Nano Tips for Aspiring Product Managers with Cherie Luo,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.
<br><br>
Here, join Cherie Luo, senior product manager at LinkedIn, as she provides advice for aspiring product managers. She starts by detailing things you need to know about product managers—what exactly a product manager does, how they spend their time, traits of great product managers—and then offers advice on how to get a job as a product manager.",Course,2025-03-27 17:32 UTC,N/A,false,N/A,
Illustrator One-on-One: Fundamentals,"Learn how to use Adobe Illustrator 2021 in the first of three comprehensive training courses by industry pro Deke McClelland. Deke demonstrates how to work with artboards; how to draw with the Pencil, Curvature, and Pen tools; and how to organize color with swatches. Deke also covers drawing shapes, adjusting strokes, formatting text with variable fonts, painting freeform artwork with or without a tablet, and more.",Course,2024-03-27 19:32 UTC,N/A,false,N/A,
Succeeding in Project Management as an Introvert,"Project management is a growing profession, yet some parts of the job can be intimidating—particularly for introverts. Although project management requires proactive communication, conflict resolution, assertiveness, and other skills more commonly associated with extroverts, introverts can thrive in this role. In fact, some of the classic traits of introverts—empathy, active listening, and observation skills—make them especially well-suited to this growing profession. In this course, veteran project manager and PM coach Anna Lung'aho Anderson explains how you can succeed in project management as an introvert. Anna covers important topics that all project managers must face—leading meetings, communicating with stakeholders, delegating tasks, managing conflict—all from the perspective of an introvert.",Course,2024-08-08 12:28 UTC,N/A,false,N/A,
